,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,2,1,28,1,0,18,2
1,1,0,0,52,1,0,207,0
2,1,2,0,34,0,0,41,2
3,1,0,0,48,1,0,189,2
4,0,2,1,48,0,0,43,2
5,0,2,1,39,0,0,51,1
6,0,0,1,70,0,0,186,2
7,0,2,1,6,3,1,124,2
8,1,2,0,35,0,2,74,2
9,1,1,0,18,1,0,154,0
10,1,2,0,8,1,1,110,2
11,1,0,0,75,0,0,143,2
12,0,2,1,25,0,0,43,2
13,0,2,1,53,1,5,158,2
14,0,2,0,18,0,0,36,2
15,1,1,0,71,0,0,108,2
16,0,2,1,6,4,1,151,1
17,1,1,1,39,0,0,85,2
18,0,2,0,42,1,0,113,2
19,1,2,0,39,0,0,16,0
20,0,1,1,48,0,0,138,2
21,1,1,1,46,0,0,85,2
22,1,2,0,20,0,0,42,1
23,1,0,1,36,0,0,168,2
24,0,2,0,12,3,1,124,2
25,1,2,0,52,1,5,159,2
26,0,2,1,39,0,0,16,0
27,0,0,1,24,3,2,246,2
28,1,2,0,39,0,0,38,1
29,0,2,1,39,0,0,40,2
30,0,0,1,54,0,0,145,0
31,1,0,0,39,1,0,236,0
32,1,2,0,39,0,0,30,1
33,0,1,1,83,0,0,72,2
34,0,0,1,36,1,0,220,0
35,0,0,1,57,1,0,187,2
36,1,2,1,39,0,0,17,0
37,0,2,1,27,0,0,43,2
38,0,2,0,23,2,0,113,2
39,1,2,0,18,1,0,75,0
40,0,2,0,54,1,0,62,2
41,0,1,0,35,1,0,123,2
42,0,2,1,39,0,0,40,0
43,1,1,0,7,1,2,177,0
44,1,2,0,24,0,0,38,1
45,0,2,1,39,0,0,43,2
46,0,2,1,39,1,0,102,1
47,1,2,0,39,0,0,30,1
48,0,2,1,39,2,0,125,0
49,0,2,0,23,1,0,112,2
50,0,2,1,11,4,1,175,2
51,0,2,1,27,0,0,34,2
52,1,0,0,65,1,0,211,0
53,1,1,0,38,1,0,138,2
54,0,0,1,82,0,1,200,0
55,1,0,1,39,0,0,168,2
56,1,1,0,27,0,0,72,2
57,0,2,1,37,0,0,17,0
58,1,1,0,9,1,2,146,2
59,0,2,1,15,5,2,179,2
60,0,2,1,28,0,0,17,0
61,1,0,0,52,0,0,218,3
62,0,0,1,60,1,0,222,2
63,0,2,1,8,3,2,147,2
64,0,0,1,39,0,0,145,0
65,1,2,1,39,1,1,101,0
66,1,1,0,38,0,0,72,2
67,0,2,1,24,0,0,46,2
68,1,2,0,22,4,2,41,2
69,0,2,1,34,2,0,54,2
70,0,1,1,43,0,0,72,2
71,0,2,0,21,5,2,179,2
72,0,1,1,27,0,0,208,2
73,0,2,1,34,1,0,94,0
74,1,2,1,43,0,0,193,2
75,0,2,1,33,0,0,24,2
76,0,2,1,39,0,0,40,2
77,0,2,1,39,0,0,43,2
78,1,1,1,3,0,2,150,2
79,1,2,0,40,0,0,81,2
80,0,2,1,28,0,0,58,2
81,1,2,1,38,0,0,64,2
82,1,2,0,39,0,0,32,1
83,0,0,1,36,0,0,180,2
84,1,1,0,22,0,0,72,2
85,1,2,0,45,3,0,106,2
86,0,2,1,21,1,3,165,2
87,0,2,1,39,0,0,43,2
88,1,0,0,29,3,2,246,2
89,0,2,1,31,0,0,43,2
90,0,2,1,38,0,0,43,2
91,0,2,1,25,0,0,36,2
92,0,0,1,62,1,0,198,2
93,0,2,1,34,1,2,122,2
94,0,2,1,76,0,0,18,2
95,0,2,1,39,0,0,43,2
96,0,0,1,86,0,0,166,0
97,1,0,1,29,0,1,201,0
98,1,1,0,46,0,1,129,2
99,0,1,1,46,1,0,138,2
100,0,2,0,36,0,0,40,2
101,0,2,1,39,0,0,40,2
102,0,0,1,27,0,1,212,2
103,0,2,1,45,0,0,53,2
104,0,2,1,51,2,0,41,2
105,0,2,1,36,0,0,40,2
106,1,2,0,27,0,0,24,2
107,1,2,1,39,0,0,31,2
108,0,2,1,52,0,0,40,2
109,1,2,0,39,1,0,133,1
110,0,0,1,63,0,0,187,2
111,0,2,0,19,1,0,94,0
112,0,2,1,28,0,0,43,2
113,0,2,0,25,1,0,66,2
114,0,2,0,22,0,0,95,0
115,0,2,1,27,0,0,41,2
116,0,2,1,85,0,0,30,1
117,0,1,1,38,1,0,123,2
118,0,0,1,31,0,1,244,0
119,0,2,0,6,4,2,158,2
120,0,1,1,27,2,0,208,2
121,0,2,1,39,0,0,43,2
122,0,1,1,44,1,0,154,0
123,1,1,0,44,0,0,85,2
124,0,0,1,70,0,1,212,2
125,1,2,1,16,1,0,75,0
126,0,2,1,39,0,0,30,1
127,1,2,1,31,0,0,15,2
128,1,2,0,39,1,1,127,0
129,0,2,1,60,0,0,10,2
130,0,2,1,45,0,0,40,0
131,0,2,1,25,0,0,12,2
132,0,2,0,63,1,0,96,2
133,1,1,0,38,1,0,138,2
134,0,1,1,33,0,0,85,2
135,0,1,1,29,0,0,98,0
136,1,0,0,24,0,2,140,2
137,0,0,1,51,1,0,189,2
138,0,2,1,21,0,0,59,2
139,0,0,1,31,0,0,216,0
140,0,2,0,39,0,2,101,0
141,1,2,0,28,0,0,30,2
142,1,2,0,31,1,0,106,2
143,0,2,1,24,0,0,7,1
144,0,1,1,23,0,0,76,2
145,0,1,1,24,1,1,169,2
146,1,2,1,35,0,0,33,2
147,0,2,0,13,2,2,165,2
148,0,1,1,50,0,2,138,2
149,0,1,1,57,0,0,85,2
150,0,1,1,67,0,0,82,2
151,1,0,0,28,1,0,203,2
152,0,2,1,72,0,0,43,2
153,0,2,1,55,0,2,96,2
154,0,2,1,39,0,0,19,2
155,0,0,1,67,0,1,199,0
156,1,2,0,21,0,0,27,1
157,0,2,1,40,0,0,43,2
158,0,2,1,39,0,0,54,2
159,0,2,1,39,6,2,205,2
160,0,2,1,59,0,1,109,2
161,1,1,0,54,0,0,105,2
162,0,2,1,34,0,0,31,2
163,0,2,1,22,0,0,54,2
164,0,2,1,5,4,1,175,2
165,1,2,1,13,0,2,121,2
166,1,0,0,39,0,1,190,2
167,0,2,0,60,1,4,147,2
168,0,0,1,39,0,0,136,2
169,0,2,1,36,0,0,193,2
170,0,0,1,78,0,0,163,2
171,0,2,1,8,4,1,151,1
172,1,2,0,5,1,1,74,2
